Aablyseius hibisci,Amblyseius hibisci
Junous deserticola,Juncus deserticola
Juníperas coahuilensis,Juniperus coahuilensis
Jusiicia decussata,Justicia decussata
Juslicia graciliflora,Justicia graciliflora
Juslicia vulgaris,Justicia vulgaris
Jussiaja decurrens,Jussiaea decurrens
Justica crassifolia,Justicia crassifolia
Justicia may,Justicia maya
Justicia pectorali,Justicia pectoralis
Justieia somalensis,Justicia somalensis
Justioia cuneata,Justicia cuneata
Jvbaea spectabilis,Jubaea spectabilis
Jyllenia pluricellata,Cyllenia pluricellata
Jœgeria hirta,Jaegeria hirta
J�usticia flavicoma,Justicia flavicoma
Kabrotrocha eremita,Habrotrocha eremita
Kachuga trivitlata,Kachuga trivittata
Kaempfera pandurata,Kaempferia pandurata
Kaempfera rotunda,Kaempferia rotunda
Kahatia lonicerae,Kabatia lonicerae
Kakatoe sanguineus,Kakatoe sanguinea
Kalco apivorus,Falco apivorus
Kalmlella hirsuta,Kalmiella hirsuta
Kalra altiventer,Kaira altiventer
Kamalina fraxinea,Ramalina fraxinea
Kamelia japonica,Kemelia japonica
Kamularia effusa,Ramularia effusa
Kamularia montenegrina,Ramularia montenegrina
Kandia macrantha,Randia macrantha
Kangarus ualabatus,Kangurus ualabatus
Kaninella schloenbachi,Raninella schloenbachi
Karschia nigro-marginata,Karschia nigromarginata
Kasahus albomaculatus,Rasahus albomaculatus
Kasbora elanga,Rasbora elanga
Kauclea grandifolia,Nauclea grandifolia
Kaulfnssia amelloides,Kaulfussia amelloides
Kavicula punctata,Navicula punctata
Kayer stylosa,Kayea stylosa
Kclidocoris flavomaculatus,Kelidocoris flavomaculatus
Keckera albicans,Neckera albicans
Kegina rigida,Regina rigida
Keithrodontomys klamathensis,Reithrodontomys klamathensis
Kelanoplus bilituratus,Melanoplus bilituratus
Kelianthus annuus,Helianthus annuus
Kellia suborbicu�aris,Kellia suborbicularis
Kellya suborhicularis,Kellya suborbicularis
Kemiargus isola,Hemiargus isola
Kemitragus hylocrius,Hemitragus hylocrius
Kennedja bracteata,Kennedya bracteata
Kennedya rubicanda,Kennedya rubicunda
Kennedyo coccinea,Kennedya coccinea
Kentia kesteniana,Kentia kersteniana
Kentiop�is divaricata,Kentiopsis divaricata
Keotoma floridana,Neotoma floridana
Kepplerites yowerianus,Kepplerites gowerianus
Keratosis ornata,Keratoisis ornata
Keritina maroccana,Neritina maroccana
Kerçna calvitium,Kerona calvitium
Keteronympha merope,Heteronympha merope
Ketwpa ceylonensis,Ketupa ceylonensis
Keyserlingifes bearlakensis,Keyserlingites bearlakensis
Khabdoweisia schisti,Rhabdoweisia schisti
Khagoletis cerasi,Rhagoletis cerasi
Khamnidium ferreum,Rhamnidium ferreum
Khamnus tinctoria,Rhamnus tinctoria
Khantus calidus,Rhantus calidus
Khipidocladum martinezii,Rhipidocladum martinezii
Khipidura albina,Rhipidura albina
Khizomyxa hypogaea,Rhizomyxa hypogaea
Khizopus arrhizus,Rhizopus arrhizus
Khizosolenia gracillima,Rhizosolenia gracillima
Khodiola asiatica,Rhodiola asiatica
Khodoneura pulchelloides,Rhodoneura pulchelloides
Khodymenia palmata,Rhodymenia palmata
Khorus spectabilis,Rhorus spectabilis
Khyacophila nubila,Rhyacophila nubila
Khynchaenus litura,Rhynchaenus litura
Khynchites pullatus,Rhynchites pullatus
Khytidoponera trachypyx,Rhytidoponera trachypyx
Kiaerograptusl gulinensis,Kiaerograptus gulinensis
Kibessia pachyphyllum,Kibessia pachyphylla
Kicania signata,Ricania signata
Kickxella alahastrina,Kickxella alabastrina
Kicotiana persica,Nicotiana persica
Kiddellia arachnoidea,Riddellia arachnoidea
Kidularium acanthocrater,Nidularium acanthocrater
Kilmia latifolia,Kalmia latifolia
Kindhergia praelonga,Kindbergia praelonga
Kionidéíla excelsa,Kionidella excelsa
Kistulipora porosa,Fistulipora porosa
Kitaibelia vilifolia,Kitaibelia vitifolia
Kleinia cacaloides,Kleinia cacalioides
Knantia dinarica,Knautia dinarica
Knaulia macedonica,Knautia macedonica
Knautia wrvensis,Knautia arvensis
Kneiffiia pumila,Kneiffia pumila
Kniplegus striaticeps,Knipolegus striaticeps
Knoicyla pusilla,Enoicyla pusilla
Kntomis jonesi,Entomis jonesi
Kobinia polyantha,Robinia polyantha
Kobrcsia cyperina,Kobresia cyperina
Kodiosoma niger,Kodiosoma nigra
Kodosaria ovicula,Nodosaria ovicula
Koeeerlinia spinosa,Koeberlinia spinosa
Koeleria carnlolica,Koeleria carniolica
Koelerla lobata,Koeleria lobata
Koellia verticilata,Koellia verticillata
Kokautia coccinea,Kohautia coccinea
Kolana alba,Nolana alba
Kolanchoë glandulosa,Kalanchoe glandulosa
Kolaster cordatus,Holaster cordatus
Kolomikta mandschnrica,Kolomikta mandschurica
Kophohelemnon pauciflorum,Kophobelemnon pauciflorum
Kornstedtia sorsogonensis,Hornstedtia sorsogonensis
Korscheliellus gracilis,Korscheltellus gracilis
Korthalsella artieulata,Korthalsella articulata
Korthalsia robust,Korthalsia robusta
Kosa alpina pyrenaica,Rosa alpina subsp. pyrenaica
Kosellinia abietina,Rosellinia abietina
Kosteletzkeya paniculata,Kosteletzkya paniculata
Koya papillantha,Hoya papillantha
Kpichnopterix pulla,Epichnopterix pulla
Kpidendrum vitellinum,Epidendrum vitellinum
Kragrostis maypurensis,Eragrostis maypurensis
Krameria gland-ulosa,Krameria glandulosa
Krameria secundifiora,Krameria secundiflora
Krigia yirginica,Krigia virginica
Kriogonum speciosum,Eriogonum speciosum
Krohnitta subfilis,Krohnitta subtilis
Krynickillus melnnocephalus,Krynickillus melanocephalus
Kryptopterus bicirrjius,Kryptopterus bicirrhis
Kubus gorizianus,Rubus gorizianus
Kucifraga columbiana,Nucifraga columbiana
Kucyperus fuscus,Eucyperus fuscus
Kundmaunia sicula,Kundmannia sicula
Kunzea pedunculdris,Kunzea peduncularis
Kupalopsis maseriensis,Eupalopsis maseriensis
Kuphorbia sylvatica,Euphorbia sylvatica
Kuploca hypogaea,Euploca hypogaea
Kurotium herbariorum,Eurotium herbariorum
Kurtns velifer,Kurtus velifer
Kurzia nalibokiana,Kurzia nalibokiania
Kuta fernandezia,Ruta fernandezia
Kutaenia sirtalis,Eutaenia sirtalis
Kylinga brevifolia,Kyllinga brevifolia
Kyllingia polyphylla var. elatior,Kyllinga polyphylla elatior
K�empferia secunda,Kaempferia secunda
Laaerpitium angustifolium,Laserpitium angustifolium
Laagaha nasuta,Langaha nasuta
Laahnella subiculosa,Lachnella subiculosa
Laalia autumnalis,Laelia autumnalis
Laalia superbiens,Laelia superbiens
Labatta salicifolia,Labatia salicifolia
Labea fuuostriata,Labea fulvostriata
Labeo nero,Labeo dero
Labidostomis lacida,Labidostomis lucida
Labidosíomis humeralis,Labidostomis humeralis
Labidurodcs nigritus,Labidurodes nigritus
Laboia russellii,Daboia russellii
Laboulbenia chaetoptora,Laboulbenia chaetophora
Labrns calophthalmus,Labrus calophthalmus
Labrns pusillus,Labrus pusillus
Labrosomus pectinifer,Labrisomus pectinifer
Labrum obliquum,Labrus obliquus
Labrus mi�xtus,Labrus mixtus
Labrus orientais,Labrus orientalis
Laccopteea novemdecimnotata,Laccoptera novemdecimnotata
Lacekta ocellata,Lacerta ocellata
Lachenalia puftulata,Lachenalia pustulata
Lachenalia quadri-color,Lachenalia quadricolor
Lachnea hemispharica,Lachnea hemisphaerica
Lachnus niitakavamensis,Lachnus niitakayamensis
Lacinularia elongate,Lacinularia elongata
Laciobacterium cerevisiae,Lactobacterium cerevisiae
Lacis cerafophylla,Lacis ceratophylla
Laciuca quercina,Lactuca quercina
Lacon afqictus,Lacon affictus
Lacon davidii,Lacon davidi
Lacon kufopiceus,Lacon rufopiceus
Lacrimaría coniforme,Lacrymaria coniforme
Lactarius chrysorrhaeus,Lactarius chrysorrheus
Lactarius pip�eratus,Lactarius piperatus
Lactarivs torminosus,Lactarius torminosus
Lactuca lon�ifolia,Lactuca longifolia
Lactuca sativum,Lactuca sativa
Lactuea sylvestris,Lactuca sylvestris
Ladrus anthias,Labrus anthias
Laehnosterna arcuata,Lachnosterna arcuata
Laelio-cattleya schulziana,Laeliocattleya schulziana
Laemanctus fitzcngeri,Laemanctus fitzingeri
Laemocharis fenestrina,Loemocharis fenestrina
Laemophlaeus nitens,Laemophloeus nitens
Laetilia eoccidivora,Laetilia coccidivora
Laetuca oblongifolia,Lactuca oblongifolia
Laeus cirrocephalus,Larus cirrocephalus
Lagascaea mollis,Lagascea mollis
Lageestroemia indica,Lagerstroemia indica
Lagerstrocmia speciosa,Lagerstroemia speciosa
Lagerstrojmia speciosa,Lagerstroemia speciosa
Lager�troemia parviflora,Lagerstroemia parviflora
Lagnolia grandiflora,Magnolia grandiflora
Lagonosticia rubricata,Lagonosticta rubricata
Lagonosticla rara,Lagonosticta rara
Lagonotsticta rara,Lagonosticta rara
Lagoris glauca,Lagotis glauca
Lagoseris lenuifolia,Lagoseris tenuifolia
Lahidocarpus megalonyx,Labidocarpus megalonyx
Lahrus coquus,Labrus coquus
Lahrus cyanocephalus,Labrus cyanocephalus
Laihridius campicola,Lathridius campicola
Laimodon nigrithorax,Laimodon nigrothorax
Lakinosomus propinquus,Larinosomus propinquus
Lalaae melanoleuca,Lalage melanoleuca
Lalage haru,Lalage karu
Lalaps cuneifer,Laelaps cuneifer
Lalbergia hupeana,Dalbergia hupeana
Lalophya flavida,Calophya flavida
Lalophyllum inophyllum,Calophyllum inophyllum
Lalrus mixtus,Labrus mixtus
Lamellaptychüs mortilleti,Lamellaptychus mortilleti
Lamina ovalis,Lamia ovalis
Laminaria costala,Laminaria costata
Lamium molucella,Lamium moluccella
Lamlnaria digitata,Laminaria digitata
Lamnomyx spissus,Lamnonyx spissus
Lampetia elegana,Lampetia elegans
Lampra mirisica,Lampra mirifica
Lamprias cyanocephaius,Lamprias cyanocephalus
Lamprocysiis circumlineata,Lamprocystis circumlineata
Lampropholis guichenotis,Lampropholis guichenoti
Lamprotogus compressiceps,Lamprologus compressiceps
Lamprotormis ignita,Lamprotornis ignita
Lampsiiis siliquoides,Lampsilis siliquoides
Lampyris zeukeri,Lampyris zenkeri
Lam�pyris algerica,Lampyris algerica
Lanaana frutilla,Lantana frutilla
Lanatana indica,Lantana indica
Lanchura tristissima,Lonchura tristissima
Laniana corymbosa,Lantana corymbosa
Laniarius cethiopicus ambiguus,Laniarius aethiopicus ambiguus
Lanina nasus,Lanna nasus
Lanins algeriensis,Lanius algeriensis
Lanins frontatus,Lanius frontatus
Lanins mitratus,Lanius mitratus
Lanius algcriensis,Lanius algeriensis
Lanius excubi�torius,Lanius excubitorius
Lanius humerdlis,Lanius humeralis
Lanius infauftus,Lanius infaustus
Lanius sulpthuratus,Lanius sulphuratus
Lanpropeltis calligaster calligaster,Lampropeltis calligaster calligaster
Lanquria mozardi,Languria mozardi
Lanrencia indica,Laurencia indica
Lansium domesicum,Lansium domesticum
Lantana lavendulacea,Lantana lavandulacea
Lantus erythropterus,Lanius erythropterus
Lantus tabuensis,Lanius tabuensis
Laonomc elegans,Laonome elegans
Lapathum rotundifulium,Lapathum rotundifolium
Lappa offioinalis,Lappa officinalis
Lappnla occidentalis,Lappula occidentalis
Lappula occidentale,Lappula occidentalis
Lapsgeria rosea,Lapageria rosea
Laptobos etruscus,Leptobos etruscus
Larcntia hastata,Larentia hastata
Lardizabala trifollata,Lardizabala trifoliata
Larelia serrata,Laurelia serrata
Larentia cheimatohiata,Larentia cheimatobiata
Largerstroemia indica,Lagerstroemia indica
Largns longulus,Largus longulus
Larix lariciana,Larix laricina
Larlaps castroi,Laelaps castroi
Larnax steyemarkii,Larnax steyermarkii
Larns cirrhocephalus,Larus cirrhocephalus
Larra ankulata,Larra annulata
Larrea divarioata,Larrea divaricata
Lartetia heidi,Lartetia heldi
Larus argsntatus,Larus argentatus
Larus barroivianus,Larus barrovianus
Larus domiuicanus,Larus dominicanus
Larus leucopiterus,Larus leucopterus
Laschia velntina,Laschia velutina
Laseguca bracteata,Laseguea bracteata
Laseguea emargixata,Laseguea emarginata
Laseipitium siler,Laserpitium siler
Laserpitium gvmmiferum,Laserpitium gummiferum
Lasiacanlha capucina,Lasiacantha capucina
Lasianthus inconspicuous,Lasianthus inconspicuus
Lasicstra phoca,Lasiestra phoca
Lasihs umbratus,Lasius umbratus
Lasiocoris albomaculattis,Lasiocoris albomaculatus
Lasiopetalum acuiiflorum,Lasiopetalum acutiflorum
Lasiophanes hoffmanm,Lasiophanes hoffmanni
Lasius emarginaius,Lasius emarginatus
Laslia anceps grandiflora,Laelia anceps var. grandiflora
Lasmolyta fasciata,Laemolyta fasciata
Laspcyresia splendana,Laspeyresia splendana
Laspeyresia hemisphserana,Laspeyresia hemisphaerana
Lastraea thelypteris,Lastrea thelypteris
Lastrea dilttata,Lastrea dilatata
Lastrea prolilica,Lastrea prolifica
Lastrea sanctum,Lastrea sancta
Latania bortonica,Latania borbonica
Latania bourbonica,Latania borbonica
Laternaria pyrorhynca,Laternaria pyrorhyncha
Lathrimajum atrocephalum,Lathrimaeum atrocephalum
Lathrohium angustatum,Lathrobium angustatum
Lathrohium dilutum,Lathrobium dilutum
Lathurus tuberosus,Lathyrus tuberosus
Lathybus sativus,Lathyrus sativus
Lathybus tingitanus,Lathyrus tingitanus
Lathyrophthalmus ceneus,Lathyrophthalmus aeneus
Lathyrus heterophyllum,Lathyrus heterophyllus
Lathyrus paraquariensis,Lathyrus paraguariensis
Lathy�us graminifolius,Lathyrus graminifolius
Laticauda co�ubrina,Laticauda colubrina
Latilur fronticinctus,Latilus fronticinctus
Latirus crenulalus,Latirus crenulatus
Latreufes paronae,Latreutes paronae
Latridius transversa,Latridium transversa
Latris lincata,Latris lineata
Latuca virosa,Lactuca virosa
Launaaa lactucoides,Launaea lactucoides
Lauras serrata,Laurus serrata
Laurencla papillosa,Laurencia papillosa
Laurocerasub officinalis,Laurocerasus officinalis
Lauxanea bilineata,Lauxania bilineata
Lavandula ver,Lavandula vera
Lavatkra hispida,Lavatera hispida
Lavernia decorella,Laverna decorella
Lavhnosterna quercina,Lachnosterna quercina
Lavrus persea,Laurus persea
Layia chrysanthcmoides,Layia chrysanthemoides
La�ea rubra,Lasea rubra
La�gopus mutus,Lagopus mutus
Lbalia tuberculosa,Ebalia tuberculosa
Lcbia turcica,Lebia turcica
Lcda parvula,Leda parvula
Lcda scapha,Leda scapha
Lcelia elegans prasiata,Laelia × elegans var. prasiata
Lceocochlis granosa,Laeocochlis granosa
Lcggada dunni,Leggada dunni
Lcma rufipennis,Lema rufipennis
Lcnzites cubensis,Lenzites cubensis
Lcpidium alyssoides,Lepidium alyssoides
Lcpidocephalichthys hasselti,Lepidocephalichthys hasselti
Lcpidosaphes vlmi,Lepidosaphes ulmi
Lcptochilus axillaris,Leptochilus axillaris
Lcptosiphon densiflorus,Leptosiphon densiflorus
Lcptosphaeria acuta,Leptosphaeria acuta
Lcptothorax tuberum,Leptothorax tuberum
Lcptyphantes cristatus,Leptyphantes cristatus
Lcssoniopsis littoralis,Lessoniopsis littoralis
Lcucas rosmarinifolia,Leucas rosmarinifolia
Lcuciscus dolabratus,Leuciscus dolabratus
Lcvierella fabroniacea,Levierella fabroniacea
Ldbatia macrocarpa,Labatia macrocarpa
Ldnius excubitor,Lanius excubitor
Ldonis amurensis,Adonis amurensis
Lea gracilis,Leea gracilis
Leacania unipunctata,Leucania unipunctata
Leander tenuicomis,Leander tenuicomris
Leaonia peduncularis,Ledonia peduncularis
Lebia fnlvicollis,Lebia fulvicollis
Lecanidion tetraspora,Lecanidion tetrasporum
Lecanora stcatina,Lecanora steatina
Leccothoe recurva,Leucothoe recurva
Lechthiocrinus adamsi,Lecythiocrinus adamsi
Lecidca dolodes,Lecidea dolodes
Lecidea atro virens,Lecidea atrovirens
Lecidea crusiulata,Lecidea crustulata
Lecidea lunda,Lecidea munda
Lecideae vestitae,Lecidea vestita
Lecithochirium floridensis,Lecithochirium floridense
Lecithochirium fusiformis,Lecithochirium fusiforms
Lectia lubrica,Leotia lubrica
Lecythis augustifolia,Lecythis angustifolia
Leda messinensis,Leda messanensis
Ledcospis affinis,Leucospis affinis
Leeanora exigua,Lecanora exigua
Leehenaultia tubiflora,Lechenaultia tubiflora
Leehriorchis secundum,Lechriorchis secundus
Leepa katinka,Loepa katinka
Leerisia oryzoides,Leersia oryzoides
Leioptilus tephrodactylus,Leioptilus tephradactylus
Leiorhynchus sinuatus,Leiorhynchus sinuatum
Leipopleura gaditina,Leipopleura gaditana
Leishamania infantum,Leishmania infantum
Lejennea serpyllifolia,Lejeunea serpyllifolia
Lejeunia gibbosa,Lejeunea gibbosa
Lejeunia ovata,Lejeunea ovata
Lelhagrium orbiculare,Lethagrium orbiculare
Lema lichenes,Lema lichenis
Lema morosa,Lema porosa
Lema m�argellanica,Lema margellanica
Lema quadrivitlata,Lema quadrivittata
Lema rujicollis,Lema rugicollis
Lemhus velifer,Lembus velifer
Lemna vatdiviana,Lemna valdiviana
Lencania unipuncta,Leucania unipuncta
Lencites saepiaria,Lenzites saepiaria
Lencomeris celebica,Leucomeris celebica
Lenia brunnea,Lebia brunnea
Lentieulina bowdenensis,Lenticulina bowdenensis
Lentinus densifclius,Lentinus densifolius
Leobunus rotundus,Leiobunus rotundum
Leoidea garovaglii,Lecidea garovaglii
Leonhqrdella setniki,Leonhardella setniki
Leonotis nepelifolia,Leonotis nepetifolia
Leontodon bulbosris,Leontodon bulbosus
Leonturus marrubiastrum,Leonurus marrubiastrum
Leoomis microlophus,Lepomis microlophus
Leotia lubzica,Leotia lubrica
Lepadogaster bieiliatus,Lepadogaster biciliatus
Lepaj anatifera,Lepas anatifera
Leparis olivacea,Liparis olivacea
Lepcocoelia flabellites,Leptocoelia flabellites
Lepealia figularis,Lepralia figularis
Lepfolepis saltviciensis,Leptolepis saltviciensis
Lepicauna tomentosa,Lepicaune tomentosa
Lepidadeniae rubrae,Lepidadenia rubra
Lepidanthvax agrestis,Lepidanthrax agrestis
Lepidocolaptes ungustirostris bivittatus,Lepidocolaptes angustirostris bivittatus
Lepidodendrox dichotomum,Lepidodendron dichotomum
Lepidodrendron mundum,Lepidodendron mundum
Lepidolis repens,Lepidotis repens
Lepidolrigla carolae,Lepidotrigla carolae
Lepidopnyllum lanceolatum,Lepidophyllum lanceolatum
Lepidostrobophyllum majus,Lepidostrobophyllum maius
Lepidozia laxipinnata,Lepidozia laxepinnata
Lepidum stylatum,Lepidium stylatum
Lepinium petraeum,Lepidium petraeum
Lepiola biornata,Lepiota biornata
Lepiota lentieularis,Lepiota lenticularis
Lepiota proeminens,Lepiota prominens
Lepisorus oiigolepidus,Lepisorus oligolepidus
Lepisoteus platostomus,Lepisosteus platostomus
Lepis�ma saccharina,Lepisma saccharina
Lepldonotus yorkianus,Lepidonotus yorkianus
Leplobryum pyriforme,Leptobryum pyriforme
Leplogorgia purpurea,Leptogorgia purpurea
Leplopsalis longipes,Leptopsalis longipes
Leplotheca coris,Leptotheca coris
Leplurus filiformis,Lepturus filiformis
Lepmhyphantes monticola,Lepthyphantes monticola
Lepomis punatatus,Lepomis punctatus
Lepopidium profundorum,Lepophidium profundorum
Lepostrema adlardi,Lepotrema adlardi
Lepralia annata,Lepralia ansata
Lepralia fiqularis,Lepralia figularis
Leprxa lapidaria,Leprea lapidaria
Leptadcnia reticulata,Leptadenia reticulata
Leptamphopns paripes,Leptamphopus paripes
Leptana rhomboidalis,Leptaena rhomboidalis
Leptanchenia nitida,Leptauchenia nitida
Leptasea scrpyllifolia,Leptasea serpyllifolia
Leptastrcea humilis,Leptastrea humilis
Leptaucbenia calcarata,Leptauchenia calcarata
Leptaximus ferruginosus,Leptaxinus ferruginosus
Leptccolea aoshimensis,Leptocolea aoshimensis
Leptcena boyaca,Leptaena boyaca
Leptcena plicata,Leptaena plicata
Lepteena concava,Leptaena concava
Leptidia hrevipennis,Leptidia brevipennis
Leptinarin chathamensis,Leptinaria chathamensis
Leptnra lavinia,Leptura lavinia
Leptnra variicornis,Leptura variicornis
Leptnrus incurvatus,Lepturus incurvatus
Leptnsa piceata,Leptusa piceata
Leptocarpba rivularis,Leptocarpha rivularis
Leptochoerus specitabilis,Leptochoerus spectabilis
Leptochsete nidulans,Leptochaete nidulans
Leptocireus curius libelluloides,Leptocircus curius subsp. libelluloides
Leptodesmus plataleus subsp. flaoiporus,Leptodesmus plataleus flaviporus
Leptoginm bullatum,Leptogium bullatum
Leptogium muscicolum,Leptogium muscicola
Leptoglossal punctiventris,Leptoglossa punctiventris
Leptohymenium ohlongifolium,Leptohymenium oblongifolium
Leptolepis spratiformis,Leptolepis sprattiformis
Leptolinum gelatinosum,Leptoclinum gelatinosum
Leptooeratops gracilis,Leptoceratops gracilis
Leptopharsa probata,Leptopharsa probala
Leptophrya cinerea,Leptophrys cinerea
Leptoplana jaltcnsis,Leptoplana jaltensis
Leptopoyon superciliaris,Leptopogon superciliaris
Leptopsylla segnis house,Leptopsylla segnis mouse
Leptopuma niasense,Leptopoma niasense
Leptorhapkis oxyspora,Leptorhaphis oxyspora
Leptoria fvagilis,Leptoria fragilis
Leptosceli�s egregia,Leptoscelis egregia
Leptosphabria cucurbitarioides,Leptosphaeria cucurbitarioides
Leptosphaeria conothyrium,Leptosphaeria coniothyrium
Leptosphaerla cylindrostoma,Leptosphaeria cylindrostoma
Leptosphseria juncina,Leptosphaeria juncina
Leptosporium tremeilinum,Leptosporium tremellinum
Leptostroma loricericolum,Leptostroma lonicericolum
Leptostylis attenuates,Leptostylis attenuatus
Leptotheca speclosa,Leptotheca speciosa
Leptothorax ccervorum,Leptothorax acervorum
Leptothyrium botryodes,Leptothyrium botryoides
Leptotyphlops machrorhynchus,Leptotyphlops macrorhynchus
Leptsena planumbona,Leptaena planumbona
Leptuena corrugata,Leptaena corrugata
Lepturus idcurvatus,Lepturus incurvatus
Lepus florida�ius transitionalis,Lepus floridanus transitionalis
Lep�dozona clathrata,Lepidozona clathrata
Lerithidea bicarinata,Cerithidea bicarinata
Lernaea brancbialis,Lernaea branchialis
Lernaea cyelopterina,Lernaea cyclopterina
Lernceonema musteli,Lernaeonema musteli
Lernfeopoda lampri,Lernaeopoda lampri
Lernona branchialis,Lernoea branchialis
Lernrea branchialis,Lernaea branchialis
Lernœa gobina,Lernaea gobina
Lernœopoda dalmanni,Lernaeopoda dalmanni
Leruaeocera cyprinacea,Lernaeocera cyprinacea
Lesehenaultia cilipes,Leschenaultia cilipes
Leshea polycarpa var. paludosa,Leskea polycarpa paludosa
Leskca velutina,Leskea velutina
Leskea flesilis,Leskea flexilis
Leskea imbricaiula,Leskea imbricatula
Leskia nitida,Leskea nitida
Lespedeza caspitata,Lespedeza capitata
Lespedezia glomerata,Lespedeza glomerata
Lesquerella argtica,Lesquerella arctica
Lessingia heterochromia,Lessingia heterochroma
Lestes oricntalis,Lestes orientalis
Lestris perasitica,Lestris parasitica
Lestyis pomarinus,Lestris pomarinus
Letidea pelobotrya,Lecidea pelobotrya
Letkrus podolicus,Lethrus podolicus
Letphaimos parasitica,Leiphaimos parasitica
Leucadcndron cancellatum,Leucadendron cancellatum
Leucalt�is pumila,Leucaltis pumila
Leucanja pallens,Leucania pallens
Leucanla l-album,Leucania l-album
Leucaugae granulatae,Leucauge granulata
Leucelta corticata,Leucetta corticata
Leuchaeria hieracioides,Leucheria hieracioides
Leuciaodes elegantalis,Leucinodes elegantalis
Leuciscus delle,Leuciscus idella
Leuciscus papjraceus,Leuciscus papyraceus
Leuciscüs aspius,Leuciscus aspius
Leuclra albida,Leuctra albida
Leucocysiis cellaris,Leucocystis cellaris
Leucoium aestivam,Leucojum aestivum
Leucolsena rotundifolia,Leucolaena rotundifolia
Leuconosloc mesenteroides,Leuconostoc mesenteroides
Leucopbyllum pruinosum,Leucophyllum pruinosum
Leucosia septem-spinosa,Leucosia septemspinosa
Leucospermum huxifolium,Leucospermum buxifolium
Leucsena retusa,Leucaena retusa
Leucuchthys artedi,Leucichthys artedi
Leuoaena latisiliqua,Leucaena latisiliqua
Levcosarcia picata,Leucosarcia picata
Levisticum paludapifollum,Levisticum paludapifolium
Levton nitidum,Lepton nitidum
Lewisia brachycalix,Lewisia brachycalyx
Lexarza funehris,Lexarza funebris
Lexigilla richardsoni,Loxigilla richardsoni
Lexzites sepiaria,Lenzites sepiaria
Leyton glabrum,Lepton glabrum
Lialis bwrtonii,Lialis burtonii
Liatris graminifolium,Liatris graminifolia
Libanolis buchtormensis,Libanotis buchtormensis
Libellala vulgata,Libellula vulgata
Libellula irivialis,Libellula trivialis
Libellula quadripunetata,Libellula quadripunctata
Libertra ixioides,Libertia ixioides
Libethra slrigiventris,Libethra strigiventris
Liburnia difflcilis,Liburnia difficilis
Libylhea bachmanii,Libythea bachmanii
Lichas taxatus,Lichas laxatus
Lichcn caespitosus,Lichen caespitosus
Lichea radiciformis,Lichen radiciformis
Lichen impolita,Lichen impolitus
Lichen tubiforme,Lichen tuniforme
Lichodontium pellucidum,Dichodontium pellucidum
Lidtris spicata,Liatris spicata
Liehen crinitus,Lichen crinitus
Liehen nivali,Lichen nivalis
Ligaus virgineus,Liguus virgineus
Ligia oceaxica,Ligia oceanica
Ligusticum peloponnesiäcum,Ligusticum peloponnesiacum
Ligustrum japowicum,Ligustrum japonicum
Lihurnia analis,Liburnia analis
Liihacodia signifera,Lithacodia signifera
Liihocolletis adenocarpi,Lithocolletis adenocarpi
Liihothamnion glaciale,Lithothamnion glaciale
Liinaria racemosa,Linaria racemosa
Liitorina intermedia,Litorina intermedia
Liitorina vulgaris,Littorina vulgaris
Lijmnaecia phragmitella,Limnaecia phragmitella
Lilhobius americanus,Lithobius americanus
Lilhoderma adriaticum,Lithoderma adriaticum
Lilhothamnium polymorphum,Lithothamnium polymorphum
Liliom giganteum,Lilium giganteum
Lilium buibiferum,Lilium bulbiferum
Lilium chalceddnicum,Lilium chalcedonicum
Lilium tennuifolium,Lilium tenuifolium
Lilivm croceum,Lilium croceum
Lima aecuata,Lima arcuata
Lima rectifera,Lima retifera
Limaa agrestis,Limax agrestis
Limacina inftata,Limacina inflata
Limaclnia fuliginoides,Limacinia fuliginoides
Limas vitula,Limnas vitula
Limatula aubauriculata,Limatula subauriculata
Limnaa humilis,Limnaea humilis
Limnaea vinosa,Lymnaea vinosa
Limnaetub limnaetus floris,Limnaetus limnaetus floris
Limnala palustris,Limnaea palustris
Limnara glutinosa,Limnaea glutinosa
Limncria croceipes,Limneria croceipes
Limnea lancelata,Limnea lanceata
Limneus rivularis,Limnaeus rivularis
Limnma ampla,Limnea ampla
Limnodrilus subsalus,Limnodrilus subsalsus
Limnogharis emarginata,Limnocharis emarginata
Limnohia trisulcata,Limnobia trisulcata
Limnoibaris languida,Limnobaris languida
Limnoiia vicaria,Limnobia vicaria
Limnomelra fluviorum,Limnometra fluviorum
Limnophila palaca,Limnophila palaea
Limnophilu obliquata,Limnophila obliquata
Limnosella acaulis,Limosella acaulis
Limnothlysis swainsonii,Limnothlypis swainsonii
Limnpea desidiosa,Limnaea desidiosa
Limnseus auricularis,Limneus auricularius
Limnæa ovata f. baltica,Lymnaea ovata baltica
Limnöbates stagnorum,Limnobates stagnorum
Limnœa socialis,Limnaea socialis
Limn�ea palustris,Limnaea palustris
Limn�us stagnalis,Limneus stagnalis
Limodorum veralrifolium,Limodorum veratrifolium
Limonia poma,Limonia poli
Limonium alba,Limonium album
Limonium earolinianum,Limonium carolinianum
Limoobia littoralis,Limnobia littoralis
Limosa ha�mastica,Limosa haemastica
Limpsina ferruginea,Limosina ferruginea
Lim�nodytes gerriphagus,Limnodytes gerriphagus
Linaiia concolor,Linaria concolor
Linaiia spartea,Linaria spartea
Linaria hepaticajfolia,Linaria hepaticaefolia
